sigma_ratio,count_ratio,0.5,1.0,abs_diff_s,speedup_1_over_0p5,speedup_0p5_over_1,faster_csf
0.6,2.0,59.92666666666667,175.48866666666666,115.56199999999998,0.34148454031219494,2.9283902547558123,0.5
0.6,4.0,47.966,126.92233333333333,78.95633333333333,0.37791615344817175,2.646089591238238,0.5
0.6,8.0,40.69833333333333,93.78033333333333,53.082,0.43397514048787766,2.3042794545231176,0.5
0.6,16.0,35.38966666666666,72.99866666666667,37.609,0.48479880911066864,2.0627113375844175,0.5
0.7,0.5,103.70933333333335,707.5889999999999,603.8796666666666,0.14656719272534388,6.82280926178293,0.5
0.7,1.0,90.32566666666666,572.018,481.69233333333335,0.15790703555948704,6.332840056536164,0.5
0.7,2.0,72.11366666666667,419.2126666666666,347.09899999999993,0.1720216787342622,5.813220794948714,0.5
0.7,4.0,53.29833333333334,288.9303333333333,235.63199999999995,0.1844677667396178,5.421001282091371,0.5
0.7,8.0,45.06733333333333,198.71866666666665,153.65133333333333,0.22678963224390933,4.409372642416532,0.5
0.7,16.0,39.758,144.26766666666666,104.50966666666665,0.275584965908277,3.6286449687274676,0.5
0.8,0.5,46.60233333333334,112.569,65.96666666666667,0.4139890496791598,2.4155228278984597,0.5
0.8,1.0,44.93566666666666,109.46966666666667,64.534,0.4104850963280543,2.4361420401017755,0.5
0.8,2.0,46.67966666666666,112.48200000000001,65.80233333333335,0.41499676985354683,2.4096573097494276,0.5
0.8,4.0,46.95666666666667,112.334,65.37733333333333,0.41800938866831655,2.3922907645346774,0.5
0.8,8.0,47.36566666666667,111.58966666666667,64.224,0.4244628385543464,2.3559188441698278,0.5
0.8,16.0,47.12833333333333,113.01799999999999,65.88966666666666,0.41699847221976444,2.3980903207553843,0.5
0.9,0.5,56.86000000000001,112.464,55.60399999999999,0.5055840091051359,1.9779106577558914,0.5
0.9,1.0,53.461999999999996,109.37866666666666,55.916666666666664,0.4887790428358973,2.045914231915504,0.5
0.9,2.0,56.800666666666665,112.39733333333334,55.59666666666667,0.5053559989560843,1.9788030656917173,0.5
0.9,4.0,57.00333333333333,112.772,55.768666666666675,0.5054741720758107,1.978340447927022,0.5
0.9,8.0,57.33566666666667,111.84066666666666,54.504999999999995,0.5126549078748934,1.9506299162243397,0.5
0.9,16.0,57.35166666666667,112.34833333333334,54.99666666666668,0.5104807963328338,1.9589375490395515,0.5
